"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"114","N","E1","P34","LS",51399,"R","R",32,"M",1,NA,NA,0.09,58,51,34,0.630434783,0.554347826,0.369565217,NA,32,-0.14882452795048,-0.192091826668928
"115","N","E1","P35","S",53125,"R","L",20,"M",16,18,NA,1,73,47,38,0.793478261,0.510869565,0.413043478,NA,32,-0.144776106139057,-0.200946084111986
"116","N","E1","P36","LS",54471,"R","L",26,"F",0,NA,NA,0,54,44,27,0.586956522,0.47826087,0.293478261,NA,32,-0.126815393170019,-0.36933088269107
"117","N","E1","P37","S",56007,"R","L",25,"M",20,24,"College Club",1,75,46,40,0.815217391,0.5,0.434782609,NA,32,0.0759927115085865,-0.00807974743729844
"118","N","E1","P38","S",57543,"R","L",27,"F",22,NA,"Collegiate",4,69,47,34,0.75,0.510869565,0.369565217,NA,32,1.18396577000885,0.999259392810874
"119","N","E1","P39","S",59079,"R","R",26,"M",22,NA,"Professional Germany",4,65,42,34,0.706521739,0.456521739,0.369565217,NA,32,0.965054284609877,1.05645253059685
"120","N","E1","P40","S",60615,"R","R",27,"M",23,NA,"Club College",1.5,64,49,34,0.695652174,0.532608696,0.369565217,NA,32,1.17368889867406,1.24775096225678
"121","N","E2","P01","LS",994,"R","R",34,"M",0,NA,NA,0,43,46,25,0.47,0.5,0.27,NA,32,-0.117235582240292,-0.123241498643386
"122","N","E2","P02","LS",2530,"R","R",26,"M",3,13,NA,0,66,49,37,0.72,0.53,0.4,NA,32,-0.527527568642356,-0.368899158681119
"123","N","E2","P03","LS",4066,"R","R",24,"M",1,NA,NA,0,48,45,26,0.52,0.49,0.28,NA,32,-0.635786198763514,-0.828998450286137
"124","N","E2","P04","S",5305,"R","R",33,"M",29,NA,"College",3.5,70,46,36,0.76,0.5,0.39,NA,32,-0.339952671289027,-0.438890114877662
"125","N","E2","P05","S",6841,"R","R",52,"M",48,NA,"Semi-Pro",3,69,45,37,0.75,0.49,0.4,NA,32,-0.0220580845809599,0.00794663030328093
"126","N","E2","P06","S",8377,"R","R",50,"M",42,NA,"Unknown",1,64,44,32,0.7,0.48,0.35,NA,32,-0.322305243067807,-0.208071752131817
"127","N","E2","P07","LS",10210,"R","R",27,"M",0,NA,NA,0.04,58,49,37,0.63,0.53,0.4,NA,32,-0.123377976718558,-0.111026331936821
"128","N","E2","P08","LS",11746,"R","R",26,"F",0,NA,NA,0,47,51,26,0.51,0.55,0.28,NA,32,-0.505251366572069,-0.591539336724348
"129","N","E2","P09","S",12985,"R","R",38,"M",30,NA,"College",2,77,43,36,0.84,0.47,0.39,NA,32,-0.520679258581266,-0.430166177461361
"130","N","E2","P10","S",14521,"R","R",27,"F",21,22,"College",0,52,48,27,0.57,0.52,0.29,NA,32,-0.29510878251967,-0.297435390928277
"131","N","E2","P11","S",16057,"R","R",28,"M",23,NA,"Club College",1.5,60,50,34,0.65,0.54,0.37,NA,32,-0.515139005853402,-0.538279558430846
"132","N","E2","P12","LS",17890,"R","R",26,"M",1,6,NA,0,63,46,33,0.68,0.5,0.36,NA,32,-0.534591247811452,-0.511310492679055
"133","N","E2","P13","S",19129,"R","L",22,"F",16,NA,"College",3,72,59,48,0.78,0.64,0.52,NA,32,-0.311871942549309,-0.383408476180084
"134","N","E2","P14","S",20665,"R","R",27,"F",10,26,"College",0,49,45,24,0.53,0.49,0.26,NA,32,-0.207678628477263,-0.244279631651492
"135","N","E2","P15","S",22201,"L","R",27,"F",21,NA,"High School",3,58,47,33,0.63,0.51,0.36,NA,32,-0.414041074449441,-0.479800810978074
"136","N","E2","P16","S",23737,"R","R",18,"F",10,17,"High School",0,61,47,32,0.66,0.51,0.35,NA,32,-0.612029990931744,-0.56527195070642
"137","N","E2","P17","S",25273,"R","R",26,"M",10,NA,"College",1,65,50,35,0.71,0.54,0.38,NA,32,-0.388982751471637,-0.288404730144539
"138","N","E2","P18","LS",27106,"R","R",26,"F",3,11,NA,0,56,42,27,0.61,0.46,0.29,NA,32,-0.524709334969997,-0.747311721498482
"139","N","E2","P19","LS",28642,"R","R",31,"M",2,10,NA,0,67,47,34,0.73,0.51,0.37,NA,32,-0.0706768616885624,-0.0679949344384838
"140","N","E2","P20","S",29881,"R","R",33,"M",28,NA,"College",1.5,68,48,37,0.74,0.52,0.4,NA,32,-0.523223748417845,-0.493471263908932
"141","N","E2","P21","LS",31714,"R","R",29,"M",1.5,11,NA,0,60,50,32,0.65,0.54,0.35,NA,32,-0.237508156182961,-0.275490432590022
"142","N","E2","P22","LS",33250,"R","R",24,"M",0,NA,NA,0,60,55,34,0.65,0.6,0.37,NA,32,-0.461494573286894,-0.480576324878799
"143","N","E2","P23","LS",34786,"L","R",33,"M",3,9,NA,0,57,41,30,0.619565217,0.445652174,0.326086957,NA,32,-0.596812690023065,-0.322612274501142
"144","N","E2","P24","S",36025,"R","R",35,"M",30,NA,"Semi-Pro",3,31,27,14,0.563636364,0.490909091,0.254545455,NA,32,-0.764680693950025,-0.721670564831627
"145","N","E2","P25","LS",37858,"R","R",23,"F",2,NA,NA,0,49,51,32,0.532608696,0.554347826,0.347826087,NA,32,-0.344425702389017,-0.538987824996076
"146","N","E2","P26","LS",39394,"R","R",34,"F",0,NA,NA,0,52,47,26,0.565217391,0.510869565,0.282608696,NA,32,-0.376983736321188,-0.394400720829441
"147","N","E2","P27","LS",40930,"R","R",42,"M",0,NA,NA,0,47,42,25,0.510869565,0.456521739,0.27173913,NA,32,-0.045397285012218,-0.207204709566598
"148","N","E2","P28","LS",42466,"R","R",26,"F",0,NA,NA,0,45,45,24,0.5,0.5,0.266666667,NA,32,-0.324360568011962,-0.441207662150742
"149","N","E2","P29","S",43705,"L","L",25,"F",16,18,"College",0,63,47,34,0.684782609,0.510869565,0.369565217,NA,32,-0.311106906221316,-0.403477326133645
"150","N","E2","P30","S",45241,"R","R",31,"M",27,NA,"Premier League",1,71,50,38,0.77173913,0.543478261,0.413043478,NA,32,-0.374429099387749,-0.450354201013977
"151","N","E2","P31","S",46777,"R","R",29,"M",25,NA,"Premier League",4,60,55,37,0.652173913,0.597826087,0.402173913,NA,32,-0.355112682551444,-0.345019660870599
"152","N","E2","P32","LS",48610,"R","R",25,"M",3,12,NA,0,64,50,34,0.695652174,0.543478261,0.369565217,NA,32,0.0245456627148763,0.0988874595261258
"153","N","E2","P33","LS",50146,"R","R",21,"F",0,NA,NA,0,55,43,28,0.597826087,0.467391304,0.304347826,NA,32,-0.113493998402033,-0.156926903111421
"154","N","E2","P34","LS",51682,"R","R",32,"M",1,NA,NA,0.09,58,51,34,0.630434783,0.554347826,0.369565217,NA,32,-0.263571002462339,-0.331996551277141
