"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"80","B","E1","Right","P40","S",120380,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,30,1.06218829871221,0.859937551079037,1.26443904634537,1.17913199355656,1.1750876372266,1.18317634988652
"81","B","E2","Left","P01","LS",237,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,30,0.0109146280572575,0.0575427294125334,-0.0357134732980184,-0.113702190461099,-0.154958291325617,-0.0724460895965805
"82","B","E2","Left","P02","LS",3148,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,30,-0.796409518009634,-0.783612704371994,-0.809206331647274,-0.689891438606946,-0.583920995201712,-0.79586188201218
"83","B","E2","Left","P03","LS",6591,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,30,-0.507788270875869,-0.55983904715848,-0.455737494593259,-0.727229588326017,-1.03430563089522,-0.420153545756813
"84","B","E2","Left","P04","S",9516,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,30,-0.433172925233056,-0.432234664895622,-0.434111185570489,-0.512167665197365,-0.667656826349804,-0.356678504044925
"85","B","E2","Left","P05","S",12875,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,30,-0.0431039551459705,0.130627984062293,-0.216835894354233,0.0632368269388327,0.144421556700032,-0.0179479028223666
"86","B","E2","Left","P06","S",15868,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,30,-0.26345131105711,-0.165207044694777,-0.361695577419444,-0.28948113409286,-0.410033615948164,-0.168928652237555
"87","B","E2","Left","P07","LS",18618,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,30,-0.169500602233831,-0.134574393415875,-0.204426811051786,-0.141786914812067,-0.0946172254646285,-0.188956604159506
"88","B","E2","Left","P08","LS",21855,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,30,-0.532214506470317,-0.470245522878283,-0.59418349006235,-0.507511726184209,-0.546541835066184,-0.468481617302233
"89","B","E2","Left","P09","S",24851,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,30,-0.467378220803779,-0.486819420441848,-0.447937021165711,-0.461760359475616,-0.399869814656625,-0.523650904294607
"90","B","E2","Left","P10","S",28209,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,30,-0.40845869671538,-0.396954337258416,-0.419963056172345,-0.301308190867038,-0.272132172351695,-0.330484209382381
"91","B","E2","Left","P11","S",31203,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,30,-0.58592177584279,-0.574959860848485,-0.596883690837095,-0.568623925687581,-0.738741585119959,-0.398506266255202
"92","B","E2","Left","P12","LS",34196,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,30,-0.650922794823139,-0.652235252971707,-0.649610336674572,-0.579922169308581,-0.526040015646909,-0.633804322970253
"93","B","E2","Left","P13","S",37434,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,30,-0.263192308108973,-0.345914091208112,-0.180470525009833,-0.51893723846584,-0.68042771629649,-0.357446760635191
"94","B","E2","Left","P14","S",40184,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",30,-0.170137735870358,-0.301293294481599,-0.038982177259116,-0.254453485929852,-0.377421036509588,-0.131485935350116
"95","B","E2","Left","P15","S",43544,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,30,-0.331264630690395,-0.27339754442357,-0.38913171695722,-0.596305372512692,-0.549957038452023,-0.64265370657336
"96","B","E2","Left","P16","S",46537,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,30,-0.636381806612324,-0.593843607408842,-0.678920005815806,-0.54445639080571,-0.654401065833322,-0.434511715778098
"97","B","E2","Left","P17","S",49775,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,30,-0.405276167315289,-0.369625183024738,-0.44092715160584,-0.399620965625984,-0.398329382077517,-0.400912549174452
"98","B","E2","Left","P18","LS",52645,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,30,-0.607062951611165,-0.535911973357656,-0.678213929864675,-0.983925644327305,-0.772796814944425,-1.19505447371019
"99","B","E2","Left","P19","LS",55638,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,30,-0.020105861641981,-0.0103397522229817,-0.0298719710609803,-0.00734504534846869,-0.0104337154864508,-0.00425637521048663
"100","B","E2","Left","P20","S",58877,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,30,-0.481268738354689,-0.414361389716979,-0.548176086992399,-0.48044177503194,-0.236482828553647,-0.724400721510233
"101","B","E2","Left","P21","LS",61626,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,30,-0.305779886484569,-0.394874529743416,-0.216685243225721,-0.255502376573099,-0.23113335651579,-0.279871396630409
"102","B","E2","Left","P22","LS",64866,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,30,-0.446983365773597,-0.408464308047842,-0.485502423499352,-0.36744969270013,-0.340794364482527,-0.394105020917733
"103","B","E2","Left","P23","LS",67980,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,30,-0.512918589162093,-0.510549648404183,-0.515287529920004,-0.27016730718243,-0.0978987571020333,-0.442435857262826
"104","B","E2","Left","P24","S",70854,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,30,-0.79283426053668,-1.03950226972513,-0.546166251348225,-0.859284838930063,-0.936084827566997,-0.78248485029313
"105","B","E2","Left","P25","LS",73968,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,30,-0.3977714597773,-0.401051098172884,-0.394491821381716,-0.540438253251863,-0.686418030187236,-0.394458476316491
"106","B","E2","Left","P26","LS",77205,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,30,-0.386247695917435,-0.291972280572394,-0.480523111262476,-0.430708126311095,-0.361729957686675,-0.499686294935514
"107","B","E2","Left","P27","LS",80199,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,30,-0.121465731291038,0.195398358519682,-0.438329821101759,-0.163918531419726,-0.0739071478556153,-0.253929914983837
"108","B","E2","Left","P28","LS",83315,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,30,-0.401737858005585,-0.446942764197612,-0.356532951813558,-0.435939987841235,-0.687507986420443,-0.184371989262028
"109","B","E2","Left","P29","S",86309,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,30,-0.399873226863126,-0.379491117383395,-0.420255336342858,-0.433020128938001,-0.446546192843566,-0.419494065032436
