"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"70","B","E1","Right","P30","S",89798,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,13,-0.176934656345823,-0.15429838000892,-0.199570932682726,-0.00416617643519239,-0.0806758022887754,0.0723434494183906
"71","B","E1","Right","P31","S",93131,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,13,-0.33959406357436,-0.371171246233465,-0.308016880915255,-0.443467960688424,-0.53017825401775,-0.3567576673591
"72","B","E1","Right","P32","LS",95419,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,13,-0.00259910564787558,0.000852774702094196,-0.00605098599784543,0.119530603754897,0.204791840570637,0.0342693669391582
"73","B","E1","Right","P33","LS",98452,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,13,-0.0964784623116597,-0.23540075518356,0.0424438305602402,0.0428111177692683,0.189430551139563,-0.103808315601026
"74","B","E1","Right","P34","LS",101530,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,13,-0.228339400047838,-0.072066188098393,-0.384612611997282,-0.347672358450906,-0.456598165094662,-0.23874655180715
"75","B","E1","Right","P35","S",105009,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,13,-0.270339429182872,-0.244515692893891,-0.296163165471852,-0.241255252668679,-0.0812878438962877,-0.401222661441071
"76","B","E1","Right","P36","LS",107761,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,13,0.00665204152735425,-0.0185465784665833,0.0318506615212918,-0.290139867572225,-0.358158010463644,-0.222121724680806
"77","B","E1","Right","P37","S",110753,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,13,0.268690090306601,0.142878023198753,0.394502157414449,0.0749749771936883,0.0230194984493023,0.126930455938074
"78","B","E1","Right","P38","S",113787,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,0.939599062561586,0.896925993296467,0.982272131826704,0.662330615344691,0.650788050164349,0.673873180525034
"79","B","E1","Right","P39","S",116863,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.574285121629375,0.427273928347441,0.721296314911309,0.912881437302431,0.960360916621196,0.865401957983665
"80","B","E1","Right","P40","S",119980,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,0.909400760982129,0.539448865627563,1.2793526563367,1.01881364731674,1.01135667008619,1.02627062454729
