"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both_r","P_Avg_Both_r"
"147","N","E2","P27","LS",40892,"R","R",42,"M",0,NA,NA,0,47,42,25,0.510869565,0.456521739,0.27173913,NA,13,0.462146962292886,0.452956706823762
"148","N","E2","P28","LS",42428,"R","R",26,"F",0,NA,NA,0,45,45,24,0.5,0.5,0.266666667,NA,13,-0.139241325453041,-0.240584692763148
"149","N","E2","P29","S",43667,"L","L",25,"F",16,18,"College",0,63,47,34,0.684782609,0.510869565,0.369565217,NA,13,-0.0385445306680541,0.133584529831808
"150","N","E2","P30","S",45203,"R","R",31,"M",27,NA,"Premier League",1,71,50,38,0.77173913,0.543478261,0.413043478,NA,13,-0.0983790663903331,-0.145016119121373
"151","N","E2","P31","S",46739,"R","R",29,"M",25,NA,"Premier League",4,60,55,37,0.652173913,0.597826087,0.402173913,NA,13,0.145094111316565,0.245571783133092
"152","N","E2","P32","LS",48572,"R","R",25,"M",3,12,NA,0,64,50,34,0.695652174,0.543478261,0.369565217,NA,13,0.0129429413039513,-0.00189186035144645
"153","N","E2","P33","LS",50108,"R","R",21,"F",0,NA,NA,0,55,43,28,0.597826087,0.467391304,0.304347826,NA,13,-0.0389894411615381,0.0648747762699489
"154","N","E2","P34","LS",51644,"R","R",32,"M",1,NA,NA,0.09,58,51,34,0.630434783,0.554347826,0.369565217,NA,13,0.110419133637978,0.0742338323146777
"155","N","E2","P35","S",52883,"R","L",20,"M",16,18,NA,1,73,47,38,0.793478261,0.510869565,0.413043478,NA,13,0.0789116445087343,0.00553968476547201
"156","N","E2","P36","LS",54716,"R","L",26,"F",0,NA,NA,0,54,44,27,0.586956522,0.47826087,0.293478261,NA,13,-0.0756804526308296,-0.0423982443591532
"157","N","E2","P37","S",56252,"R","L",25,"M",20,24,"College Club",1,75,46,40,0.815217391,0.5,0.434782609,NA,13,-0.0899988491888607,0.00281355369196459
"158","N","E2","P38","S",57788,"R","L",27,"F",22,NA,"Collegiate",4,69,47,34,0.75,0.510869565,0.369565217,NA,13,0.164839368753514,0.234207745930802
"159","N","E2","P39","S",59324,"R","R",26,"M",22,NA,"Professional Germany",4,65,42,34,0.706521739,0.456521739,0.369565217,NA,13,0.314967090426394,0.270105644105259
"160","N","E2","P40","S",60860,"R","R",27,"M",23,NA,"Club College",1.5,64,49,34,0.695652174,0.532608696,0.369565217,NA,13,0.190557759322186,0.378466350898795
"161","O","E1","P01","LS",1050,"R","R",34,"M",0,NA,NA,0,47,45,20,0.52,0.5,0.22,NA,13,-0.13703631959617,-0.0333364364843051
"162","O","E1","P02","LS",2586,"R","R",26,"M",3,13,NA,0,48,42,21,0.53,0.47,0.23,NA,13,-0.137412559953748,-0.147599480879839
"163","O","E1","P03","LS",4122,"R","R",24,"M",1,NA,NA,0,57,46,31,0.63,0.51,0.34,NA,13,-0.00578404773843927,-0.00575144871509969
"164","O","E1","P04","S",5806,"R","R",33,"M",29,NA,"College",3.5,50,37,24,0.56,0.41,0.27,NA,13,0.124037554188765,0.122829489316091
